时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°),Q0,Q1,Q2,Q3
"2025-04-20T04:22:36.481Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0190,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.483Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0190,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.484Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0190,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.485Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0190,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.485Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0190,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.486Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0190,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.511Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.512Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.513Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.514Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.515Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.516Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.631Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.632Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:36.633Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
